Line,Time,saw 1,Result 0,Result 1000,Result -1000,
1,0,0,0,1000,-1000,
2,0.01,-11,29937.1,29937.1,29937.1,
3,0.02,-11,29937.1,29937.1,29937.1,
4,0.03,-10.78,24025.1,24025.1,24025.1,
5,0.04,-10.56,19280.6,19280.6,19280.6,
6,0.05,-10.34,15473,15473,15473,
7,0.06,-10.12,12417.4,12417.4,12417.4,
8,0.07,-9.9,9965.19,9965.19,9965.19,
9,0.08,-9.68,7997.25,7997.25,7997.25,
10,0.09,-9.46,6417.94,6417.94,6417.94,
11,0.1,-9.24,5150.52,5150.52,5150.52,
12,0.11,-9.02,4133.39,4133.39,4133.39,
13,0.12,-8.8,3317.12,3317.12,3317.12,
14,0.13,-8.58,2662.05,2662.05,2662.05,
15,0.14,-8.36,2136.35,2136.35,2136.35,
16,0.15,-8.14,1714.46,1714.46,1714.46,
17,0.16,-7.92,1375.89,1375.89,1375.89,
18,0.17,-7.7,1104.17,1104.17,1104.17,
19,0.18,-7.48,886.121,886.121,886.121,
20,0.19,-7.26,711.129,711.129,711.129,
21,0.2,-7.04,570.694,570.694,570.694,
22,0.21,-6.82,457.993,457.993,457.993,
23,0.22,-6.6,367.548,367.548,367.548,
24,0.23,-6.38,294.965,294.965,294.965,
25,0.24,-6.16,236.715,236.715,236.715,
26,0.25,-5.94,189.969,189.969,189.969,
27,0.26,-5.72,152.454,152.454,152.454,
28,0.27,-5.5,122.348,122.348,122.348,
29,0.28,-5.28,98.1875,98.1875,98.1875,
30,0.29,-5.06,78.7984,78.7984,78.7984,
31,0.3,-4.84,63.2386,63.2386,63.2386,
32,0.31,-4.62,50.7519,50.7519,50.7519,
33,0.32,-4.4,40.7316,40.7316,40.7316,
34,0.33,-4.18,32.6906,32.6906,32.6906,
35,0.34,-3.96,26.2382,26.2382,26.2382,
36,0.35,-3.74,21.0609,21.0609,21.0609,
37,0.36,-3.52,16.907,16.907,16.907,
38,0.37,-3.3,13.5748,13.5748,13.5748,
39,0.38,-3.08,10.9022,10.9022,10.9022,
40,0.39,-2.86,8.7594,8.7594,8.7594,
41,0.4,-2.64,7.04228,7.04228,7.04228,
42,0.41,-2.42,5.66739,5.66739,5.66739,
43,0.42,-2.2,4.56791,4.56791,4.56791,
44,0.43,-1.98,3.69041,3.69041,3.69041,
45,0.44,-1.76,2.99224,2.99224,2.99224,
46,0.45,-1.54,2.43949,2.43949,2.43949,
47,0.46,-1.32,2.00528,2.00528,2.00528,
48,0.47,-1.1,1.66852,1.66852,1.66852,
49,0.48,-0.88,1.41284,1.41284,1.41284,
50,0.49,-0.66,1.22582,1.22582,1.22582,
51,0.5,-0.44,1.09837,1.09837,1.09837,
52,0.51,-0.22,1.0243,1.0243,1.0243,
53,0.52,0,1,1,1,
54,0.53,0.22,1.0243,1.0243,1.0243,
55,0.54,0.44,1.09837,1.09837,1.09837,
56,0.55,0.66,1.22582,1.22582,1.22582,
57,0.56,0.88,1.41284,1.41284,1.41284,
58,0.57,1.1,1.66852,1.66852,1.66852,
59,0.58,1.32,2.00528,2.00528,2.00528,
60,0.59,1.54,2.43949,2.43949,2.43949,
61,0.6,1.76,2.99224,2.99224,2.99224,
62,0.61,1.98,3.69041,3.69041,3.69041,
63,0.62,2.2,4.56791,4.56791,4.56791,
64,0.63,2.42,5.66739,5.66739,5.66739,
65,0.64,2.64,7.04228,7.04228,7.04228,
66,0.65,2.86,8.7594,8.7594,8.7594,
67,0.66,3.08,10.9022,10.9022,10.9022,
68,0.67,3.3,13.5748,13.5748,13.5748,
69,0.68,3.52,16.907,16.907,16.907,
70,0.69,3.74,21.0609,21.0609,21.0609,
71,0.7,3.96,26.2382,26.2382,26.2382,
72,0.71,4.18,32.6906,32.6906,32.6906,
73,0.72,4.4,40.7316,40.7316,40.7316,
74,0.73,4.62,50.7519,50.7519,50.7519,
75,0.74,4.84,63.2386,63.2386,63.2386,
76,0.75,5.06,78.7984,78.7984,78.7984,
77,0.76,5.28,98.1875,98.1875,98.1875,
78,0.77,5.5,122.348,122.348,122.348,
79,0.78,5.72,152.454,152.454,152.454,
80,0.79,5.94,189.969,189.969,189.969,
81,0.8,6.16,236.715,236.715,236.715,
82,0.81,6.38,294.965,294.965,294.965,
83,0.82,6.6,367.548,367.548,367.548,
84,0.83,6.82,457.993,457.993,457.993,
85,0.84,7.04,570.694,570.694,570.694,
86,0.85,7.26,711.129,711.129,711.129,
87,0.86,7.48,886.121,886.121,886.121,
88,0.87,7.7,1104.17,1104.17,1104.17,
89,0.88,7.92,1375.89,1375.89,1375.89,
90,0.89,8.14,1714.46,1714.46,1714.46,
91,0.9,8.36,2136.35,2136.35,2136.35,
92,0.91,8.58,2662.05,2662.05,2662.05,
93,0.92,8.8,3317.12,3317.12,3317.12,
94,0.93,9.02,4133.39,4133.39,4133.39,
95,0.94,9.24,5150.52,5150.52,5150.52,
96,0.95,9.46,6417.94,6417.94,6417.94,
97,0.96,9.68,7997.25,7997.25,7997.25,
98,0.97,9.9,9965.19,9965.19,9965.19,
99,0.98,10.12,12417.4,12417.4,12417.4,
100,0.99,10.34,15473,15473,15473,
101,1,10.56,19280.6,19280.6,19280.6,
102,1.01,10.78,24025.1,24025.1,24025.1,
103,1.02,-11,29937.1,29937.1,29937.1,
104,1.03,-10.78,24025.1,24025.1,24025.1,
105,1.04,-10.56,19280.6,19280.6,19280.6,
106,1.05,-10.34,15473,15473,15473,
107,1.06,-10.12,12417.4,12417.4,12417.4,
