Line,Time,saw 1,Result 0,Result 1000,Result -1000,
1,0,0,0,1000,-1000,
2,0.01,-10,-2.99822,-2.99822,-2.99822,
3,0.02,-10,-2.99822,-2.99822,-2.99822,
4,0.03,-9.8,-2.97812,-2.97812,-2.97812,
5,0.04,-9.6,-2.95761,-2.95761,-2.95761,
6,0.05,-9.4,-2.93667,-2.93667,-2.93667,
7,0.06,-9.2,-2.91529,-2.91529,-2.91529,
8,0.07,-9,-2.89344,-2.89344,-2.89344,
9,0.08,-8.8,-2.87111,-2.87111,-2.87111,
10,0.09,-8.6,-2.84827,-2.84827,-2.84827,
11,0.1,-8.4,-2.8249,-2.8249,-2.8249,
12,0.11,-8.2,-2.80098,-2.80098,-2.80098,
13,0.12,-8,-2.77647,-2.77647,-2.77647,
14,0.13,-7.8,-2.75135,-2.75135,-2.75135,
15,0.14,-7.6,-2.7256,-2.7256,-2.7256,
16,0.15,-7.4,-2.69916,-2.69916,-2.69916,
17,0.16,-7.2,-2.67202,-2.67202,-2.67202,
18,0.17,-7,-2.64412,-2.64412,-2.64412,
19,0.18,-6.8,-2.61543,-2.61543,-2.61543,
20,0.19,-6.6,-2.58591,-2.58591,-2.58591,
21,0.2,-6.4,-2.55549,-2.55549,-2.55549,
22,0.21,-6.2,-2.52414,-2.52414,-2.52414,
23,0.22,-6,-2.49178,-2.49178,-2.49178,
24,0.23,-5.8,-2.45836,-2.45836,-2.45836,
25,0.24,-5.6,-2.42379,-2.42379,-2.42379,
26,0.25,-5.4,-2.38801,-2.38801,-2.38801,
27,0.26,-5.2,-2.35093,-2.35093,-2.35093,
28,0.27,-5,-2.31244,-2.31244,-2.31244,
29,0.28,-4.8,-2.27244,-2.27244,-2.27244,
30,0.29,-4.6,-2.23081,-2.23081,-2.23081,
31,0.3,-4.4,-2.18742,-2.18742,-2.18742,
32,0.31,-4.2,-2.14211,-2.14211,-2.14211,
33,0.32,-4,-2.09471,-2.09471,-2.09471,
34,0.33,-3.8,-2.04503,-2.04503,-2.04503,
35,0.34,-3.6,-1.99284,-1.99284,-1.99284,
36,0.35,-3.4,-1.93788,-1.93788,-1.93788,
37,0.36,-3.2,-1.87986,-1.87986,-1.87986,
38,0.37,-3,-1.81845,-1.81845,-1.81845,
39,0.38,-2.8,-1.75323,-1.75323,-1.75323,
40,0.39,-2.6,-1.68374,-1.68374,-1.68374,
41,0.4,-2.4,-1.60944,-1.60944,-1.60944,
