Line,Time,Boolean Input 1,1.Seed 3,2.Seed 3,Seed 4,Seed 3 edge,Seed 3 level,
1,0,False,0.377688,0.377688,0.858476,0.377688,0.377688,
2,0.01,True,0.53945,0.53945,0.704118,0.53945,0.53945,
3,0.02,True,0.927878,0.927878,0.158043,0.53945,0.927878,
4,0.03,True,0.954208,0.954208,0.102586,0.53945,0.954208,
5,0.04,False,0.543095,0.543095,0.877664,0.53945,0.954208,
6,0.05,False,0.931218,0.931218,0.216508,0.53945,0.954208,
7,0.06,True,0.97094,0.97094,0.148186,0.927878,0.543095,
8,0.07,True,0.134276,0.134276,0.825554,0.927878,0.931218,
9,0.08,False,0.87248,0.87248,0.439465,0.927878,0.931218,
10,0.09,False,0.332,0.332,0.754636,0.927878,0.931218,
11,0.1,True,0.682451,0.682451,0.970194,0.954208,0.97094,
12,0.11,True,0.789728,0.789728,0.11792,0.954208,0.134276,
13,0.12,False,0.948647,0.948647,0.430542,0.954208,0.134276,
14,0.13,False,0.340677,0.340677,0.700303,0.954208,0.134276,
15,0.14,True,0.440331,0.440331,0.871082,0.543095,0.87248,
16,0.15,True,0.621071,0.621071,0.370629,0.543095,0.332,
17,0.16,False,0.538015,0.538015,0.0245667,0.543095,0.332,
18,0.17,False,0.350805,0.350805,0.754588,0.543095,0.332,
19,0.18,True,0.571497,0.571497,0.138999,0.931218,0.682451,
20,0.19,True,0.883184,0.883184,0.160747,0.931218,0.789728,
21,0.2,False,0.668646,0.668646,0.621824,0.931218,0.789728,
22,0.21,False,0.232666,0.232666,0.110465,0.931218,0.789728,
23,0.22,True,0.187186,0.187186,0.70617,0.97094,0.948647,
24,0.23,True,0.470696,0.470696,0.941858,0.97094,0.340677,
25,0.24,False,0.226922,0.226922,0.721696,0.97094,0.340677,
26,0.25,False,0.241542,0.241542,0.489371,0.97094,0.340677,
27,0.26,True,0.0968148,0.0968148,0.85266,0.134276,0.440331,
28,0.27,True,0.68317,0.68317,0.68766,0.134276,0.621071,
29,0.28,False,0.804889,0.804889,0.765948,0.134276,0.621071,
30,0.29,False,0.719568,0.719568,0.838529,0.134276,0.621071,
31,0.3,True,0.387523,0.387523,0.532763,0.87248,0.538015,
32,0.31,True,0.409374,0.409374,0.390713,0.87248,0.350805,
33,0.32,False,0.261433,0.261433,0.0467907,0.87248,0.350805,
34,0.33,False,0.427496,0.427496,0.93407,0.87248,0.350805,
35,0.34,True,0.932317,0.932317,0.815332,0.332,0.571497,
36,0.35,True,0.382086,0.382086,0.308398,0.332,0.883184,
37,0.36,False,0.0858663,0.0858663,0.112701,0.332,0.883184,
38,0.37,False,0.977878,0.977878,0.831574,0.332,0.883184,
39,0.38,True,0.600067,0.600067,0.310513,0.682451,0.668646,
40,0.39,True,0.568412,0.568412,0.673349,0.682451,0.232666,
41,0.4,False,0.742463,0.742463,0.868214,0.682451,0.232666,
42,0.41,False,0.0758103,0.0758103,0.729431,0.682451,0.232666,
43,0.42,True,0.768218,0.768218,0.730576,0.789728,0.187186,
44,0.43,True,0.565724,0.565724,0.144246,0.789728,0.470696,
45,0.44,False,0.150855,0.150855,0.967947,0.789728,0.470696,
46,0.45,False,0.545291,0.545291,0.784549,0.789728,0.470696,
47,0.46,True,0.748941,0.748941,0.787232,0.948647,0.226922,
48,0.47,True,0.93321,0.93321,0.873466,0.948647,0.241542,
49,0.48,False,0.893561,0.893561,0.413833,0.948647,0.241542,
50,0.49,False,0.393634,0.393634,0.802623,0.948647,0.241542,
51,0.5,True,0.623854,0.623854,0.266075,0.340677,0.0968148,
52,0.51,True,0.758802,0.758802,0.667877,0.340677,0.68317,
53,0.52,False,0.643521,0.643521,0.255095,0.340677,0.68317,
54,0.53,False,0.302615,0.302615,0.875951,0.340677,0.68317,
55,0.54,True,0.904117,0.904117,0.478834,0.440331,0.804889,
56,0.55,True,0.428475,0.428475,0.48644,0.440331,0.719568,
57,0.56,False,0.864895,0.864895,0.789786,0.440331,0.719568,
58,0.57,False,0.588573,0.588573,0.727404,0.440331,0.719568,
59,0.58,True,0.0630538,0.0630538,0.304188,0.621071,0.387523,
60,0.59,True,0.524147,0.524147,0.319031,0.621071,0.409374,
61,0.6,False,0.921584,0.921584,0.183356,0.621071,0.409374,
62,0.61,False,0.613496,0.613496,0.731658,0.621071,0.409374,
63,0.62,True,0.476483,0.476483,0.585505,0.538015,0.261433,
64,0.63,True,0.0243779,0.0243779,0.251359,0.538015,0.427496,
65,0.64,False,0.043646,0.043646,0.575957,0.538015,0.427496,
66,0.65,False,0.433979,0.433979,0.102899,0.538015,0.427496,
67,0.66,True,0.507899,0.507899,0.809807,0.350805,0.932317,
68,0.67,True,0.243203,0.243203,0.672498,0.350805,0.382086,
69,0.68,False,0.0503556,0.0503556,0.887284,0.350805,0.382086,
70,0.69,False,0.0205392,0.0205392,0.280895,0.350805,0.382086,
71,0.7,True,0.0843471,0.0843471,0.112463,0.571497,0.0858663,
72,0.71,True,0.681057,0.681057,0.647818,0.571497,0.977878,
73,0.72,False,0.934447,0.934447,0.795792,0.571497,0.977878,
74,0.73,False,0.310315,0.310315,0.414667,0.571497,0.977878,
75,0.74,True,0.952687,0.952687,0.196607,0.883184,0.600067,
76,0.75,True,0.558255,0.558255,0.697243,0.883184,0.568412,
77,0.76,False,0.0175886,0.0175886,0.674781,0.883184,0.568412,
78,0.77,False,0.826461,0.826461,0.503969,0.883184,0.568412,
79,0.78,True,0.234206,0.234206,0.216423,0.668646,0.742463,
80,0.79,True,0.875844,0.875844,0.410802,0.668646,0.0758103,
81,0.8,False,0.688208,0.688208,0.777893,0.668646,0.0758103,
82,0.81,False,0.519021,0.519021,0.415483,0.668646,0.0758103,
83,0.82,True,0.83364,0.83364,0.842208,0.232666,0.768218,
84,0.83,True,0.0894984,0.0894984,0.461176,0.232666,0.565724,
85,0.84,False,0.339167,0.339167,0.250842,0.232666,0.565724,
86,0.85,False,0.351195,0.351195,0.450862,0.232666,0.565724,
87,0.86,True,0.65811,0.65811,0.512558,0.187186,0.150855,
88,0.87,True,0.323098,0.323098,0.653642,0.187186,0.545291,
89,0.88,False,0.203609,0.203609,0.693446,0.187186,0.545291,
90,0.89,False,0.147892,0.147892,0.944154,0.187186,0.545291,
91,0.9,True,0.876772,0.876772,0.169029,0.470696,0.748941,
92,0.91,True,0.984492,0.984492,0.581055,0.470696,0.93321,
93,0.92,False,0.219061,0.219061,0.83292,0.470696,0.93321,
94,0.93,False,0.116345,0.116345,0.283178,0.470696,0.93321,
95,0.94,True,0.332511,0.332511,0.0858718,0.226922,0.893561,
96,0.95,True,0.715195,0.715195,0.807184,0.226922,0.393634,
97,0.96,False,0.272561,0.272561,0.857731,0.226922,0.393634,
98,0.97,False,0.287275,0.287275,0.0858336,0.226922,0.393634,
99,0.98,True,0.538284,0.538284,0.577596,0.241542,0.623854,
100,0.99,True,0.579265,0.579265,0.17209,0.241542,0.758802,
101,1,False,0.587594,0.587594,0.813879,0.241542,0.758802,
102,1.01,False,0.136347,0.136347,0.785049,0.241542,0.758802,
