Line;Time;saw 1;saw 2;result;
1;0;0;0;0;
2;0.01;-10;-10;100;
3;0.02;-10;-10;100;
4;0.03;-9.8;-9.6;94.08;
5;0.04;-9.6;-9.2;88.32;
6;0.05;-9.4;-8.8;82.72;
7;0.06;-9.2;-8.4;77.28;
8;0.07;-9;-8;72;
9;0.08;-8.8;-7.6;66.88;
10;0.09;-8.6;-7.2;61.92;
11;0.1;-8.4;-6.8;57.12;
12;0.11;-8.2;-6.4;52.48;
13;0.12;-8;-6;48;
14;0.13;-7.8;-5.6;43.68;
15;0.14;-7.6;-5.2;39.52;
16;0.15;-7.4;-4.8;35.52;
17;0.16;-7.2;-4.4;31.68;
18;0.17;-7;-4;28;
19;0.18;-6.8;-3.6;24.48;
20;0.19;-6.6;-3.2;21.12;
21;0.2;-6.4;-2.8;17.92;
22;0.21;-6.2;-2.4;14.88;
23;0.22;-6;-2;12;
24;0.23;-5.8;-1.6;9.28;
25;0.24;-5.6;-1.2;6.72;
26;0.25;-5.4;-0.8;4.32;
27;0.26;-5.2;-0.4;2.08;
28;0.27;-5;0;-0;
29;0.28;-4.8;0.4;-1.92;
30;0.29;-4.6;0.8;-3.68;
31;0.3;-4.4;1.2;-5.28;
32;0.31;-4.2;1.6;-6.72;
33;0.32;-4;2;-8;
34;0.33;-3.8;2.4;-9.12;
35;0.34;-3.6;2.8;-10.08;
36;0.35;-3.4;3.2;-10.88;
37;0.36;-3.2;3.6;-11.52;
38;0.37;-3;4;-12;
39;0.38;-2.8;4.4;-12.32;
40;0.39;-2.6;4.8;-12.48;
41;0.4;-2.4;5.2;-12.48;
42;0.41;-2.2;5.6;-12.32;
43;0.42;-2;6;-12;
44;0.43;-1.8;6.4;-11.52;
45;0.44;-1.6;6.8;-10.88;
46;0.45;-1.4;7.2;-10.08;
47;0.46;-1.2;7.6;-9.12;
48;0.47;-1;8;-8;
49;0.48;-0.8;8.4;-6.72;
50;0.49;-0.6;8.8;-5.28;
51;0.5;-0.4;9.2;-3.68;
52;0.51;-0.2;9.6;-1.92;
53;0.52;0;-10;-0;
54;0.53;0.2;-9.6;-1.92;
55;0.54;0.4;-9.2;-3.68;
56;0.55;0.6;-8.8;-5.28;
57;0.56;0.8;-8.4;-6.72;
58;0.57;1;-8;-8;
59;0.58;1.2;-7.6;-9.12;
60;0.59;1.4;-7.2;-10.08;
61;0.6;1.6;-6.8;-10.88;
62;0.61;1.8;-6.4;-11.52;
63;0.62;2;-6;-12;
64;0.63;2.2;-5.6;-12.32;
65;0.64;2.4;-5.2;-12.48;
66;0.65;2.6;-4.8;-12.48;
67;0.66;2.8;-4.4;-12.32;
68;0.67;3;-4;-12;
69;0.68;3.2;-3.6;-11.52;
70;0.69;3.4;-3.2;-10.88;
71;0.7;3.6;-2.8;-10.08;
72;0.71;3.8;-2.4;-9.12;
73;0.72;4;-2;-8;
74;0.73;4.2;-1.6;-6.72;
75;0.74;4.4;-1.2;-5.28;
76;0.75;4.6;-0.8;-3.68;
77;0.76;4.8;-0.4;-1.92;
78;0.77;5;0;0;
79;0.78;5.2;0.4;2.08;
80;0.79;5.4;0.8;4.32;
81;0.8;5.6;1.2;6.72;
82;0.81;5.8;1.6;9.28;
83;0.82;6;2;12;
84;0.83;6.2;2.4;14.88;
85;0.84;6.4;2.8;17.92;
86;0.85;6.6;3.2;21.12;
87;0.86;6.8;3.6;24.48;
88;0.87;7;4;28;
89;0.88;7.2;4.4;31.68;
90;0.89;7.4;4.8;35.52;
91;0.9;7.6;5.2;39.52;
92;0.91;7.8;5.6;43.68;
93;0.92;8;6;48;
94;0.93;8.2;6.4;52.48;
95;0.94;8.4;6.8;57.12;
96;0.95;8.6;7.2;61.92;
97;0.96;8.8;7.6;66.88;
98;0.97;9;8;72;
99;0.98;9.2;8.4;77.28;
100;0.99;9.4;8.8;82.72;
101;1;9.6;9.2;88.32;
102;1.01;9.8;9.6;94.08;
103;1.02;-10;-10;100;
104;1.03;-9.8;-9.6;94.08;
105;1.04;-9.6;-9.2;88.32;
106;1.05;-9.4;-8.8;82.72;
107;1.06;-9.2;-8.4;77.28;
108;1.07;-9;-8;72;
109;1.08;-8.8;-7.6;66.88;
110;1.09;-8.6;-7.2;61.92;
111;1.1;-8.4;-6.8;57.12;
112;1.11;-8.2;-6.4;52.48;
