Line;Time;saw 1;saw 2;result;
1;0;0;0;0;
2;0.01;-10;-10;0;
3;0.02;-10;-10;0;
4;0.03;-9.8;-9.6;-0.2;
5;0.04;-9.6;-9.2;-0.4;
6;0.05;-9.4;-8.8;-0.6;
7;0.06;-9.2;-8.4;-0.8;
8;0.07;-9;-8;-1;
9;0.08;-8.8;-7.6;-1.2;
10;0.09;-8.6;-7.2;-1.4;
11;0.1;-8.4;-6.8;-1.6;
12;0.11;-8.2;-6.4;-1.8;
13;0.12;-8;-6;-2;
14;0.13;-7.8;-5.6;-2.2;
15;0.14;-7.6;-5.2;-2.4;
16;0.15;-7.4;-4.8;-2.6;
17;0.16;-7.2;-4.4;-2.8;
18;0.17;-7;-4;-3;
19;0.18;-6.8;-3.6;-3.2;
20;0.19;-6.6;-3.2;-0.2;
21;0.2;-6.4;-2.8;-0.8;
22;0.21;-6.2;-2.4;-1.4;
23;0.22;-6;-2;-1.33227e-15;
24;0.23;-5.8;-1.6;-1;
25;0.24;-5.6;-1.2;-0.8;
26;0.25;-5.4;-0.8;-0.6;
27;0.26;-5.2;-0.4;-0.4;
28;0.27;-5;0;nan;
29;0.28;-4.8;0.4;-0.4;
30;0.29;-4.6;0.8;-0.6;
31;0.3;-4.4;1.2;-0.8;
32;0.31;-4.2;1.6;-1;
33;0.32;-4;2;-8.88178e-16;
34;0.33;-3.8;2.4;-1.4;
35;0.34;-3.6;2.8;-0.8;
36;0.35;-3.4;3.2;-0.2;
37;0.36;-3.2;3.6;-3.2;
38;0.37;-3;4;-3;
39;0.38;-2.8;4.4;-2.8;
40;0.39;-2.6;4.8;-2.6;
41;0.4;-2.4;5.2;-2.4;
42;0.41;-2.2;5.6;-2.2;
43;0.42;-2;6;-2;
44;0.43;-1.8;6.4;-1.8;
45;0.44;-1.6;6.8;-1.6;
46;0.45;-1.4;7.2;-1.4;
47;0.46;-1.2;7.6;-1.2;
48;0.47;-1;8;-1;
49;0.48;-0.8;8.4;-0.8;
50;0.49;-0.6;8.8;-0.6;
51;0.5;-0.4;9.2;-0.4;
52;0.51;-0.2;9.6;-0.2;
53;0.52;0;-10;0;
54;0.53;0.2;-9.6;0.2;
55;0.54;0.4;-9.2;0.4;
56;0.55;0.6;-8.8;0.6;
57;0.56;0.8;-8.4;0.8;
58;0.57;1;-8;1;
59;0.58;1.2;-7.6;1.2;
60;0.59;1.4;-7.2;1.4;
61;0.6;1.6;-6.8;1.6;
62;0.61;1.8;-6.4;1.8;
63;0.62;2;-6;2;
64;0.63;2.2;-5.6;2.2;
65;0.64;2.4;-5.2;2.4;
66;0.65;2.6;-4.8;2.6;
67;0.66;2.8;-4.4;2.8;
68;0.67;3;-4;3;
69;0.68;3.2;-3.6;3.2;
70;0.69;3.4;-3.2;0.2;
71;0.7;3.6;-2.8;0.8;
72;0.71;3.8;-2.4;1.4;
73;0.72;4;-2;0;
74;0.73;4.2;-1.6;1;
75;0.74;4.4;-1.2;0.8;
76;0.75;4.6;-0.8;0.6;
77;0.76;4.8;-0.4;0.4;
78;0.77;5;0;nan;
79;0.78;5.2;0.4;0.4;
80;0.79;5.4;0.8;0.6;
81;0.8;5.6;1.2;0.8;
82;0.81;5.8;1.6;1;
83;0.82;6;2;2.22045e-15;
84;0.83;6.2;2.4;1.4;
85;0.84;6.4;2.8;0.8;
86;0.85;6.6;3.2;0.2;
87;0.86;6.8;3.6;3.2;
88;0.87;7;4;3;
89;0.88;7.2;4.4;2.8;
90;0.89;7.4;4.8;2.6;
91;0.9;7.6;5.2;2.4;
92;0.91;7.8;5.6;2.2;
93;0.92;8;6;2;
94;0.93;8.2;6.4;1.8;
95;0.94;8.4;6.8;1.6;
96;0.95;8.6;7.2;1.4;
97;0.96;8.8;7.6;1.2;
98;0.97;9;8;1;
99;0.98;9.2;8.4;0.8;
100;0.99;9.4;8.8;0.6;
101;1;9.6;9.2;0.4;
102;1.01;9.8;9.6;0.2;
103;1.02;-10;-10;-0;
104;1.03;-9.8;-9.6;-0.2;
105;1.04;-9.6;-9.2;-0.4;
106;1.05;-9.4;-8.8;-0.6;
107;1.06;-9.2;-8.4;-0.8;
108;1.07;-9;-8;-1;
109;1.08;-8.8;-7.6;-1.2;
110;1.09;-8.6;-7.2;-1.4;
111;1.1;-8.4;-6.8;-1.6;
112;1.11;-8.2;-6.4;-1.8;
