Line,Time,saw 1,saw 2,result,
1,0,0,0,0,
2,0.01,-10,0,inf,
3,0.02,-10,0,inf,
4,0.03,-9.8,0.4,7939.85,
5,0.04,-9.6,0.8,8.51797,
6,0.05,-9.4,1.2,0.180176,
7,0.06,-9.2,1.6,0.0132463,
8,0.07,-9,2,0.00195313,
9,0.08,-8.8,2.4,0.000450963,
10,0.09,-8.6,2.8,0.000142706,
11,0.1,-8.4,3.2,5.71137e-05,
12,0.11,-8.2,3.6,2.74359e-05,
13,0.12,-8,4,1.52588e-05,
14,0.13,-7.8,4.4,9.57346e-06,
15,0.14,-7.6,4.8,6.6461e-06,
16,0.15,-7.4,5.2,5.03008e-06,
17,0.16,-7.2,5.6,4.10248e-06,
18,0.17,-7,6,3.57225e-06,
19,0.18,-6.8,6.4,3.29592e-06,
20,0.19,-6.6,6.8,3.20215e-06,
21,0.2,-6.4,7.2,3.25891e-06,
22,0.21,-6.2,7.6,3.45904e-06,
23,0.22,-6,8,3.8147e-06,
24,0.23,-5.8,8.4,4.35693e-06,
25,0.24,-5.6,8.8,5.13922e-06,
26,0.25,-5.4,9.2,6.24519e-06,
27,0.26,-5.2,9.6,7.80171e-06,
28,0.27,-5,10,1e-05,
29,0.28,-4.8,10.4,1.31293e-05,
30,0.29,-4.6,10.8,1.76299e-05,
31,0.3,-4.4,11.2,2.41791e-05,
32,0.31,-4.2,11.6,3.3828e-05,
33,0.32,-4,12,4.82253e-05,
34,0.33,-3.8,12.4,6.99838e-05,
35,0.34,-3.6,12.8,0.000103287,
36,0.35,-3.4,13.2,0.000154899,
37,0.36,-3.2,13.6,0.000235872,
38,0.37,-3,14,0.000364431,
39,0.38,-2.8,14.4,0.000570933,
40,0.39,-2.6,14.8,0.000906399,
41,0.4,-2.4,15.2,0.00145739,
42,0.41,-2.2,15.6,0.00237206,
43,0.42,-2,16,0.00390625,
44,0.43,-1.8,16.4,0.00650551,
45,0.44,-1.6,16.8,0.0109523,
46,0.45,-1.4,17.2,0.018632,
47,0.46,-1.2,17.6,0.0320173,
48,0.47,-1,18,0.0555556,
49,0.48,-0.8,18.4,0.0973074,
50,0.49,-0.6,18.8,0.171991,
51,0.5,-0.4,19.2,0.306676,
52,0.51,-0.2,19.6,0.551504,
53,0.52,0,0,1,
54,0.53,0.2,0.4,0.832553,
55,0.54,0.4,0.8,0.91461,
56,0.55,0.6,1.2,1.1156,
57,0.56,0.8,1.6,1.45645,
58,0.57,1,2,2,
59,0.58,1.2,2.4,2.85926,
60,0.59,1.4,2.8,4.22689,
61,0.6,1.6,3.2,6.43043,
62,0.61,1.8,3.6,10.031,
63,0.62,2,4,16,
64,0.63,2.2,4.4,26.0373,
65,0.64,2.4,4.8,43.1498,
66,0.65,2.6,5.2,72.7124,
67,0.66,2.8,5.6,124.43,
68,0.67,3,6,216,
69,0.68,3.2,6.4,379.993,
70,0.69,3.4,6.8,676.909,
71,0.7,3.6,7.2,1220.1,
72,0.71,3.8,7.6,2223.78,
73,0.72,4,8,4096,
74,0.73,4.2,8.4,7620.32,
75,0.74,4.4,8.8,14312.8,
76,0.75,4.6,9.2,27128.4,
77,0.76,4.8,9.6,51868.3,
78,0.77,5,10,100000,
79,0.78,5.2,10.4,194345,
80,0.79,5.4,10.8,380617,
81,0.8,5.6,11.2,750967,
82,0.81,5.8,11.6,1.4923e+06,
83,0.82,6,12,2.98598e+06,
84,0.83,6.2,12.4,6.01471e+06,
85,0.84,6.4,12.8,1.21939e+07,
86,0.85,6.6,13.2,2.48764e+07,
87,0.86,6.8,13.6,5.10581e+07,
88,0.87,7,14,1.05414e+08,
89,0.88,7.2,14.4,2.18882e+08,
90,0.89,7.4,14.8,4.57022e+08,
91,0.9,7.6,15.2,9.59426e+08,
92,0.91,7.8,15.6,2.02475e+09,
93,0.92,8,16,4.29497e+09,
94,0.93,8.2,16.4,9.15629e+09,
95,0.94,8.4,16.8,1.96154e+10,
96,0.95,8.6,17.2,4.22226e+10,
97,0.96,8.8,17.6,9.13086e+10,
98,0.97,9,18,1.98359e+11,
99,0.98,9.2,18.4,4.32837e+11,
100,0.99,9.4,18.8,9.48601e+11,
101,1,9.6,19.2,2.08781e+12,
102,1.01,9.8,19.6,4.61434e+12,
103,1.02,-10,0,inf,
104,1.03,-9.8,0.4,7939.85,
105,1.04,-9.6,0.8,8.51797,
106,1.05,-9.4,1.2,0.180176,
107,1.06,-9.2,1.6,0.0132463,
108,1.07,-9,2,0.00195313,
109,1.08,-8.8,2.4,0.000450963,
110,1.09,-8.6,2.8,0.000142706,
111,1.1,-8.4,3.2,5.71137e-05,
112,1.11,-8.2,3.6,2.74359e-05,
