Line;Time;Clock1 direct;unconn;unconn!;!unconn;Clock1;Clock1!;!Clock1;!Clock1!;2 x ExtConn;4 x ExtConn;Clock2 direct;Clock2;2 x ExtConn Clk2;4 x ExtConn Clk2;Loop1;Loop1!;Loop2;Loop2!;Loop4;Loop4!;
1;0;True;False;True;False;True;False;False;True;True;True;True;True;True;True;False;False;False;False;False;False;
2;1e-05;True;False;True;False;True;False;False;True;True;True;True;True;True;True;False;True;False;True;False;True;
3;2e-05;True;False;True;False;True;False;False;True;True;True;False;False;False;False;False;False;False;False;False;False;
4;3e-05;False;False;True;False;False;True;True;False;False;False;True;True;True;True;False;True;False;True;False;True;
5;4e-05;False;False;True;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;
6;5e-05;False;False;True;False;False;True;True;False;False;False;True;True;True;True;False;True;False;True;False;True;
7;6e-05;True;False;True;False;True;False;False;True;True;True;False;False;False;False;False;False;False;False;False;False;
8;7e-05;True;False;True;False;True;False;False;True;True;True;True;True;True;True;False;True;False;True;False;True;
9;8e-05;False;False;True;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;
10;9e-05;False;False;True;False;False;True;True;False;False;False;True;True;True;True;False;True;False;True;False;True;
11;0.0001;False;False;True;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;
12;0.00011;True;False;True;False;True;False;False;True;True;True;True;True;True;True;False;True;False;True;False;True;
13;0.00012;True;False;True;False;True;False;False;True;True;True;False;False;False;False;False;False;False;False;False;False;
14;0.00013;False;False;True;False;False;True;True;False;False;False;True;True;True;True;False;True;False;True;False;True;
15;0.00014;False;False;True;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;
16;0.00015;False;False;True;False;False;True;True;False;False;False;True;True;True;True;False;True;False;True;False;True;
17;0.00016;True;False;True;False;True;False;False;True;True;True;False;False;False;False;False;False;False;False;False;False;
18;0.00017;True;False;True;False;True;False;False;True;True;True;True;True;True;True;False;True;False;True;False;True;
19;0.00018;False;False;True;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;
20;0.00019;False;False;True;False;False;True;True;False;False;False;True;True;True;True;False;True;False;True;False;True;
21;0.0002;False;False;True;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;
22;0.00021;True;False;True;False;True;False;False;True;True;True;True;True;True;True;False;True;False;True;False;True;
