Line;Time;saw 1;saw 2;result;
1;0;0;0;Falsch;
2;0.01;-10;-10;Wahr;
3;0.02;-10;-10;Wahr;
4;0.03;-9.8;-9.6;Wahr;
5;0.04;-9.6;-9.2;Wahr;
6;0.05;-9.4;-8.8;Wahr;
7;0.06;-9.2;-8.4;Wahr;
8;0.07;-9;-8;Wahr;
9;0.08;-8.8;-7.6;Wahr;
10;0.09;-8.6;-7.2;Wahr;
11;0.1;-8.4;-6.8;Wahr;
12;0.11;-8.2;-6.4;Wahr;
13;0.12;-8;-6;Wahr;
14;0.13;-7.8;-5.6;Wahr;
15;0.14;-7.6;-5.2;Wahr;
16;0.15;-7.4;-4.8;Wahr;
17;0.16;-7.2;-4.4;Wahr;
18;0.17;-7;-4;Wahr;
19;0.18;-6.8;-3.6;Wahr;
20;0.19;-6.6;-3.2;Wahr;
21;0.2;-6.4;-2.8;Wahr;
22;0.21;-6.2;-2.4;Wahr;
23;0.22;-6;-2;Wahr;
24;0.23;-5.8;-1.6;Wahr;
25;0.24;-5.6;-1.2;Wahr;
26;0.25;-5.4;-0.8;Wahr;
27;0.26;-5.2;-0.4;Wahr;
28;0.27;-5;0;Wahr;
29;0.28;-4.8;0.4;Wahr;
30;0.29;-4.6;0.8;Wahr;
31;0.3;-4.4;1.2;Wahr;
32;0.31;-4.2;1.6;Wahr;
33;0.32;-4;2;Wahr;
34;0.33;-3.8;2.4;Wahr;
35;0.34;-3.6;2.8;Wahr;
36;0.35;-3.4;3.2;Wahr;
37;0.36;-3.2;3.6;Wahr;
38;0.37;-3;4;Wahr;
39;0.38;-2.8;4.4;Wahr;
40;0.39;-2.6;4.8;Wahr;
41;0.4;-2.4;5.2;Wahr;
42;0.41;-2.2;5.6;Wahr;
43;0.42;-2;6;Wahr;
44;0.43;-1.8;6.4;Wahr;
45;0.44;-1.6;6.8;Wahr;
46;0.45;-1.4;7.2;Wahr;
47;0.46;-1.2;7.6;Wahr;
48;0.47;-1;8;Wahr;
49;0.48;-0.8;8.4;Wahr;
50;0.49;-0.6;8.8;Wahr;
51;0.5;-0.4;9.2;Wahr;
52;0.51;-0.2;9.6;Wahr;
53;0.52;0;-10;Falsch;
54;0.53;0.2;-9.6;Falsch;
55;0.54;0.4;-9.2;Falsch;
56;0.55;0.6;-8.8;Falsch;
57;0.56;0.8;-8.4;Falsch;
58;0.57;1;-8;Falsch;
59;0.58;1.2;-7.6;Falsch;
60;0.59;1.4;-7.2;Falsch;
61;0.6;1.6;-6.8;Falsch;
62;0.61;1.8;-6.4;Falsch;
63;0.62;2;-6;Falsch;
64;0.63;2.2;-5.6;Falsch;
65;0.64;2.4;-5.2;Falsch;
66;0.65;2.6;-4.8;Falsch;
67;0.66;2.8;-4.4;Falsch;
68;0.67;3;-4;Falsch;
69;0.68;3.2;-3.6;Falsch;
70;0.69;3.4;-3.2;Falsch;
71;0.7;3.6;-2.8;Falsch;
72;0.71;3.8;-2.4;Falsch;
73;0.72;4;-2;Falsch;
74;0.73;4.2;-1.6;Falsch;
75;0.74;4.4;-1.2;Falsch;
76;0.75;4.6;-0.8;Falsch;
77;0.76;4.8;-0.4;Falsch;
78;0.77;5;0;Falsch;
79;0.78;5.2;0.4;Falsch;
80;0.79;5.4;0.8;Falsch;
81;0.8;5.6;1.2;Falsch;
82;0.81;5.8;1.6;Falsch;
83;0.82;6;2;Falsch;
84;0.83;6.2;2.4;Falsch;
85;0.84;6.4;2.8;Falsch;
86;0.85;6.6;3.2;Falsch;
87;0.86;6.8;3.6;Falsch;
88;0.87;7;4;Falsch;
89;0.88;7.2;4.4;Falsch;
90;0.89;7.4;4.8;Falsch;
91;0.9;7.6;5.2;Falsch;
92;0.91;7.8;5.6;Falsch;
93;0.92;8;6;Falsch;
94;0.93;8.2;6.4;Falsch;
95;0.94;8.4;6.8;Falsch;
96;0.95;8.6;7.2;Falsch;
97;0.96;8.8;7.6;Falsch;
98;0.97;9;8;Falsch;
99;0.98;9.2;8.4;Falsch;
100;0.99;9.4;8.8;Falsch;
101;1;9.6;9.2;Falsch;
102;1.01;9.8;9.6;Falsch;
103;1.02;-10;-10;Wahr;
104;1.03;-9.8;-9.6;Wahr;
105;1.04;-9.6;-9.2;Wahr;
106;1.05;-9.4;-8.8;Wahr;
107;1.06;-9.2;-8.4;Wahr;
108;1.07;-9;-8;Wahr;
109;1.08;-8.8;-7.6;Wahr;
110;1.09;-8.6;-7.2;Wahr;
111;1.1;-8.4;-6.8;Wahr;
112;1.11;-8.2;-6.4;Wahr;
