Line;Time;Floating Point Input 1;Floating Point Input 2;Floating Point Input 3;Floating Point Input 4;Floating Point Input 5;
1;0;0;0;1;-1;0;
2;0.1;0;0;1;-1;0;
3;0.2;0.587785;2.93893;1.58779;-0.412215;-0.587785;
4;0.3;0.951057;4.75528;1.95106;-0.0489435;-0.951057;
5;0.4;0.951057;4.75528;1.95106;-0.0489435;-0.951057;
6;0.5;0.587785;2.93893;1.58779;-0.412215;-0.587785;
7;0.6;1.22461e-16;6.12303e-16;1;-1;-1.22461e-16;
8;0.7;-0.587785;-2.93893;0.412215;-1.58779;0.587785;
9;0.8;-0.951057;-4.75528;0.0489435;-1.95106;0.951057;
10;0.9;-0.951057;-4.75528;0.0489435;-1.95106;0.951057;
11;1;-0.587785;-2.93893;0.412215;-1.58779;0.587785;
12;1.1;0;0;1;-1;0;
13;1.2;0.587785;2.93893;1.58779;-0.412215;-0.587785;
14;1.3;0.951057;4.75528;1.95106;-0.0489435;-0.951057;
15;1.4;0.951057;4.75528;1.95106;-0.0489435;-0.951057;
16;1.5;0.587785;2.93893;1.58779;-0.412215;-0.587785;
17;1.6;1.22461e-16;6.12303e-16;1;-1;-1.22461e-16;
18;1.7;-0.587785;-2.93893;0.412215;-1.58779;0.587785;
19;1.8;-0.951057;-4.75528;0.0489435;-1.95106;0.951057;
20;1.9;-0.951057;-4.75528;0.0489435;-1.95106;0.951057;
21;2;-0.587785;-2.93893;0.412215;-1.58779;0.587785;
22;2.1;0;0;1;-1;0;
