Line;Time;saw 1;saw 2;result;
1;0;0;0;False;
2;0.01;-10;-10;True;
3;0.02;-10;-10;True;
4;0.03;-9.8;-9.6;False;
5;0.04;-9.6;-9.2;False;
6;0.05;-9.4;-8.8;False;
7;0.06;-9.2;-8.4;False;
8;0.07;-9;-8;False;
9;0.08;-8.8;-7.6;False;
10;0.09;-8.6;-7.2;False;
11;0.1;-8.4;-6.8;False;
12;0.11;-8.2;-6.4;False;
13;0.12;-8;-6;False;
14;0.13;-7.8;-5.6;False;
15;0.14;-7.6;-5.2;False;
16;0.15;-7.4;-4.8;False;
17;0.16;-7.2;-4.4;False;
18;0.17;-7;-4;False;
19;0.18;-6.8;-3.6;False;
20;0.19;-6.6;-3.2;False;
21;0.2;-6.4;-2.8;False;
22;0.21;-6.2;-2.4;False;
23;0.22;-6;-2;False;
24;0.23;-5.8;-1.6;False;
25;0.24;-5.6;-1.2;False;
26;0.25;-5.4;-0.8;False;
27;0.26;-5.2;-0.4;False;
28;0.27;-5;0;False;
29;0.28;-4.8;0.4;False;
30;0.29;-4.6;0.8;False;
31;0.3;-4.4;1.2;False;
32;0.31;-4.2;1.6;False;
33;0.32;-4;2;False;
34;0.33;-3.8;2.4;False;
35;0.34;-3.6;2.8;False;
36;0.35;-3.4;3.2;False;
37;0.36;-3.2;3.6;False;
38;0.37;-3;4;False;
39;0.38;-2.8;4.4;False;
40;0.39;-2.6;4.8;False;
41;0.4;-2.4;5.2;False;
42;0.41;-2.2;5.6;False;
43;0.42;-2;6;False;
44;0.43;-1.8;6.4;False;
45;0.44;-1.6;6.8;False;
46;0.45;-1.4;7.2;False;
47;0.46;-1.2;7.6;False;
48;0.47;-1;8;False;
49;0.48;-0.8;8.4;False;
50;0.49;-0.6;8.8;False;
51;0.5;-0.4;9.2;False;
52;0.51;-0.2;9.6;False;
53;0.52;0;-10;True;
54;0.53;0.2;-9.6;True;
55;0.54;0.4;-9.2;True;
56;0.55;0.6;-8.8;True;
57;0.56;0.8;-8.4;True;
58;0.57;1;-8;True;
59;0.58;1.2;-7.6;True;
60;0.59;1.4;-7.2;True;
61;0.6;1.6;-6.8;True;
62;0.61;1.8;-6.4;True;
63;0.62;2;-6;True;
64;0.63;2.2;-5.6;True;
65;0.64;2.4;-5.2;True;
66;0.65;2.6;-4.8;True;
67;0.66;2.8;-4.4;True;
68;0.67;3;-4;True;
69;0.68;3.2;-3.6;True;
70;0.69;3.4;-3.2;True;
71;0.7;3.6;-2.8;True;
72;0.71;3.8;-2.4;True;
73;0.72;4;-2;True;
74;0.73;4.2;-1.6;True;
75;0.74;4.4;-1.2;True;
76;0.75;4.6;-0.8;True;
77;0.76;4.8;-0.4;True;
78;0.77;5;0;True;
79;0.78;5.2;0.4;True;
80;0.79;5.4;0.8;True;
81;0.8;5.6;1.2;True;
82;0.81;5.8;1.6;True;
83;0.82;6;2;True;
84;0.83;6.2;2.4;True;
85;0.84;6.4;2.8;True;
86;0.85;6.6;3.2;True;
87;0.86;6.8;3.6;True;
88;0.87;7;4;True;
89;0.88;7.2;4.4;True;
90;0.89;7.4;4.8;True;
91;0.9;7.6;5.2;True;
92;0.91;7.8;5.6;True;
93;0.92;8;6;True;
94;0.93;8.2;6.4;True;
95;0.94;8.4;6.8;True;
96;0.95;8.6;7.2;True;
97;0.96;8.8;7.6;True;
98;0.97;9;8;True;
99;0.98;9.2;8.4;True;
100;0.99;9.4;8.8;True;
101;1;9.6;9.2;True;
102;1.01;9.8;9.6;True;
103;1.02;-10;-10;True;
104;1.03;-9.8;-9.6;False;
105;1.04;-9.6;-9.2;False;
106;1.05;-9.4;-8.8;False;
107;1.06;-9.2;-8.4;False;
108;1.07;-9;-8;False;
109;1.08;-8.8;-7.6;False;
110;1.09;-8.6;-7.2;False;
111;1.1;-8.4;-6.8;False;
112;1.11;-8.2;-6.4;False;
