Line;Time;saw 1;saw 2;saw 3;result;
1;0;0;0;0;0;
2;0.01;-10;-10;-10;-1000;
3;0.02;-10;-10;-10;-1000;
4;0.03;-9.8;-9.6;-9.2;-865.536;
5;0.04;-9.6;-9.2;-8.4;-741.888;
6;0.05;-9.4;-8.8;-7.6;-628.672;
7;0.06;-9.2;-8.4;-6.8;-525.504;
8;0.07;-9;-8;-6;-432;
9;0.08;-8.8;-7.6;-5.2;-347.776;
10;0.09;-8.6;-7.2;-4.4;-272.448;
11;0.1;-8.4;-6.8;-3.6;-205.632;
12;0.11;-8.2;-6.4;-2.8;-146.944;
13;0.12;-8;-6;-2;-96;
14;0.13;-7.8;-5.6;-1.2;-52.416;
15;0.14;-7.6;-5.2;-0.4;-15.808;
16;0.15;-7.4;-4.8;0.4;14.208;
17;0.16;-7.2;-4.4;1.2;38.016;
18;0.17;-7;-4;2;56;
19;0.18;-6.8;-3.6;2.8;68.544;
20;0.19;-6.6;-3.2;3.6;76.032;
21;0.2;-6.4;-2.8;4.4;78.848;
22;0.21;-6.2;-2.4;5.2;77.376;
23;0.22;-6;-2;6;72;
24;0.23;-5.8;-1.6;6.8;63.104;
25;0.24;-5.6;-1.2;7.6;51.072;
26;0.25;-5.4;-0.8;8.4;36.288;
27;0.26;-5.2;-0.4;9.2;19.136;
28;0.27;-5;0;-10;0;
29;0.28;-4.8;0.4;-9.2;17.664;
30;0.29;-4.6;0.8;-8.4;30.912;
31;0.3;-4.4;1.2;-7.6;40.128;
32;0.31;-4.2;1.6;-6.8;45.696;
33;0.32;-4;2;-6;48;
34;0.33;-3.8;2.4;-5.2;47.424;
35;0.34;-3.6;2.8;-4.4;44.352;
36;0.35;-3.4;3.2;-3.6;39.168;
37;0.36;-3.2;3.6;-2.8;32.256;
38;0.37;-3;4;-2;24;
39;0.38;-2.8;4.4;-1.2;14.784;
40;0.39;-2.6;4.8;-0.4;4.992;
41;0.4;-2.4;5.2;0.4;-4.992;
42;0.41;-2.2;5.6;1.2;-14.784;
43;0.42;-2;6;2;-24;
44;0.43;-1.8;6.4;2.8;-32.256;
45;0.44;-1.6;6.8;3.6;-39.168;
46;0.45;-1.4;7.2;4.4;-44.352;
47;0.46;-1.2;7.6;5.2;-47.424;
48;0.47;-1;8;6;-48;
49;0.48;-0.8;8.4;6.8;-45.696;
50;0.49;-0.6;8.8;7.6;-40.128;
51;0.5;-0.4;9.2;8.4;-30.912;
52;0.51;-0.2;9.6;9.2;-17.664;
53;0.52;0;-10;-10;0;
54;0.53;0.2;-9.6;-9.2;17.664;
55;0.54;0.4;-9.2;-8.4;30.912;
56;0.55;0.6;-8.8;-7.6;40.128;
57;0.56;0.8;-8.4;-6.8;45.696;
58;0.57;1;-8;-6;48;
59;0.58;1.2;-7.6;-5.2;47.424;
60;0.59;1.4;-7.2;-4.4;44.352;
61;0.6;1.6;-6.8;-3.6;39.168;
62;0.61;1.8;-6.4;-2.8;32.256;
63;0.62;2;-6;-2;24;
64;0.63;2.2;-5.6;-1.2;14.784;
65;0.64;2.4;-5.2;-0.4;4.992;
66;0.65;2.6;-4.8;0.4;-4.992;
67;0.66;2.8;-4.4;1.2;-14.784;
68;0.67;3;-4;2;-24;
69;0.68;3.2;-3.6;2.8;-32.256;
70;0.69;3.4;-3.2;3.6;-39.168;
71;0.7;3.6;-2.8;4.4;-44.352;
72;0.71;3.8;-2.4;5.2;-47.424;
73;0.72;4;-2;6;-48;
74;0.73;4.2;-1.6;6.8;-45.696;
75;0.74;4.4;-1.2;7.6;-40.128;
76;0.75;4.6;-0.8;8.4;-30.912;
77;0.76;4.8;-0.4;9.2;-17.664;
78;0.77;5;0;-10;-0;
79;0.78;5.2;0.4;-9.2;-19.136;
80;0.79;5.4;0.8;-8.4;-36.288;
81;0.8;5.6;1.2;-7.6;-51.072;
82;0.81;5.8;1.6;-6.8;-63.104;
83;0.82;6;2;-6;-72;
84;0.83;6.2;2.4;-5.2;-77.376;
85;0.84;6.4;2.8;-4.4;-78.848;
86;0.85;6.6;3.2;-3.6;-76.032;
87;0.86;6.8;3.6;-2.8;-68.544;
88;0.87;7;4;-2;-56;
89;0.88;7.2;4.4;-1.2;-38.016;
90;0.89;7.4;4.8;-0.4;-14.208;
91;0.9;7.6;5.2;0.4;15.808;
92;0.91;7.8;5.6;1.2;52.416;
93;0.92;8;6;2;96;
94;0.93;8.2;6.4;2.8;146.944;
95;0.94;8.4;6.8;3.6;205.632;
96;0.95;8.6;7.2;4.4;272.448;
97;0.96;8.8;7.6;5.2;347.776;
98;0.97;9;8;6;432;
99;0.98;9.2;8.4;6.8;525.504;
100;0.99;9.4;8.8;7.6;628.672;
101;1;9.6;9.2;8.4;741.888;
102;1.01;9.8;9.6;9.2;865.536;
103;1.02;-10;-10;-10;-1000;
104;1.03;-9.8;-9.6;-9.2;-865.536;
105;1.04;-9.6;-9.2;-8.4;-741.888;
106;1.05;-9.4;-8.8;-7.6;-628.672;
107;1.06;-9.2;-8.4;-6.8;-525.504;
108;1.07;-9;-8;-6;-432;
109;1.08;-8.8;-7.6;-5.2;-347.776;
110;1.09;-8.6;-7.2;-4.4;-272.448;
111;1.1;-8.4;-6.8;-3.6;-205.632;
112;1.11;-8.2;-6.4;-2.8;-146.944;
