Line;Time;saw 1;result;
1;0;0;0;
2;0.01;-10;-1.47113;
3;0.02;-10;-1.47113;
4;0.03;-9.8;-1.46911;
5;0.04;-9.6;-1.467;
6;0.05;-9.4;-1.46481;
7;0.06;-9.2;-1.46253;
8;0.07;-9;-1.46014;
9;0.08;-8.8;-1.45765;
10;0.09;-8.6;-1.45504;
11;0.1;-8.4;-1.45231;
12;0.11;-8.2;-1.44944;
13;0.12;-8;-1.44644;
14;0.13;-7.8;-1.44329;
15;0.14;-7.6;-1.43997;
16;0.15;-7.4;-1.43647;
17;0.16;-7.2;-1.43279;
18;0.17;-7;-1.4289;
19;0.18;-6.8;-1.42478;
20;0.19;-6.6;-1.42042;
21;0.2;-6.4;-1.4158;
22;0.21;-6.2;-1.41088;
23;0.22;-6;-1.40565;
24;0.23;-5.8;-1.40006;
25;0.24;-5.6;-1.39409;
26;0.25;-5.4;-1.38769;
27;0.26;-5.2;-1.38081;
28;0.27;-5;-1.3734;
29;0.28;-4.8;-1.3654;
30;0.29;-4.6;-1.35674;
31;0.3;-4.4;-1.34732;
32;0.31;-4.2;-1.33705;
33;0.32;-4;-1.32582;
34;0.33;-3.8;-1.31347;
35;0.34;-3.6;-1.29985;
36;0.35;-3.4;-1.28474;
37;0.36;-3.2;-1.26791;
38;0.37;-3;-1.24905;
39;0.38;-2.8;-1.22777;
40;0.39;-2.6;-1.20362;
41;0.4;-2.4;-1.17601;
42;0.41;-2.2;-1.14417;
43;0.42;-2;-1.10715;
44;0.43;-1.8;-1.0637;
45;0.44;-1.6;-1.0122;
46;0.45;-1.4;-0.950547;
47;0.46;-1.2;-0.876058;
48;0.47;-1;-0.785398;
49;0.48;-0.8;-0.674741;
50;0.49;-0.6;-0.54042;
51;0.5;-0.4;-0.380506;
52;0.51;-0.2;-0.197396;
53;0.52;0;0;
54;0.53;0.2;0.197396;
55;0.54;0.4;0.380506;
56;0.55;0.6;0.54042;
57;0.56;0.8;0.674741;
58;0.57;1;0.785398;
59;0.58;1.2;0.876058;
60;0.59;1.4;0.950547;
61;0.6;1.6;1.0122;
62;0.61;1.8;1.0637;
63;0.62;2;1.10715;
64;0.63;2.2;1.14417;
65;0.64;2.4;1.17601;
66;0.65;2.6;1.20362;
67;0.66;2.8;1.22777;
68;0.67;3;1.24905;
69;0.68;3.2;1.26791;
70;0.69;3.4;1.28474;
71;0.7;3.6;1.29985;
72;0.71;3.8;1.31347;
73;0.72;4;1.32582;
74;0.73;4.2;1.33705;
75;0.74;4.4;1.34732;
76;0.75;4.6;1.35674;
77;0.76;4.8;1.3654;
78;0.77;5;1.3734;
79;0.78;5.2;1.38081;
80;0.79;5.4;1.38769;
81;0.8;5.6;1.39409;
82;0.81;5.8;1.40006;
83;0.82;6;1.40565;
84;0.83;6.2;1.41088;
85;0.84;6.4;1.4158;
86;0.85;6.6;1.42042;
87;0.86;6.8;1.42478;
88;0.87;7;1.4289;
89;0.88;7.2;1.43279;
90;0.89;7.4;1.43647;
91;0.9;7.6;1.43997;
92;0.91;7.8;1.44329;
93;0.92;8;1.44644;
94;0.93;8.2;1.44944;
95;0.94;8.4;1.45231;
96;0.95;8.6;1.45504;
97;0.96;8.8;1.45765;
98;0.97;9;1.46014;
99;0.98;9.2;1.46253;
100;0.99;9.4;1.46481;
101;1;9.6;1.467;
102;1.01;9.8;1.46911;
103;1.02;-10;-1.47113;
104;1.03;-9.8;-1.46911;
105;1.04;-9.6;-1.467;
106;1.05;-9.4;-1.46481;
107;1.06;-9.2;-1.46253;
108;1.07;-9;-1.46014;
109;1.08;-8.8;-1.45765;
110;1.09;-8.6;-1.45504;
111;1.1;-8.4;-1.45231;
112;1.11;-8.2;-1.44944;
