Line;Time;saw 1;saw 2;result;
1;0;0;0;Falsch;
2;0.01;-10;-10;Falsch;
3;0.02;-10;-10;Falsch;
4;0.03;-9.8;-9.6;Falsch;
5;0.04;-9.6;-9.2;Falsch;
6;0.05;-9.4;-8.8;Falsch;
7;0.06;-9.2;-8.4;Falsch;
8;0.07;-9;-8;Falsch;
9;0.08;-8.8;-7.6;Falsch;
10;0.09;-8.6;-7.2;Falsch;
11;0.1;-8.4;-6.8;Falsch;
12;0.11;-8.2;-6.4;Falsch;
13;0.12;-8;-6;Falsch;
14;0.13;-7.8;-5.6;Falsch;
15;0.14;-7.6;-5.2;Falsch;
16;0.15;-7.4;-4.8;Falsch;
17;0.16;-7.2;-4.4;Falsch;
18;0.17;-7;-4;Falsch;
19;0.18;-6.8;-3.6;Falsch;
20;0.19;-6.6;-3.2;Falsch;
21;0.2;-6.4;-2.8;Falsch;
22;0.21;-6.2;-2.4;Falsch;
23;0.22;-6;-2;Falsch;
24;0.23;-5.8;-1.6;Falsch;
25;0.24;-5.6;-1.2;Falsch;
26;0.25;-5.4;-0.8;Falsch;
27;0.26;-5.2;-0.4;Falsch;
28;0.27;-5;0;Falsch;
29;0.28;-4.8;0.4;Falsch;
30;0.29;-4.6;0.8;Falsch;
31;0.3;-4.4;1.2;Falsch;
32;0.31;-4.2;1.6;Falsch;
33;0.32;-4;2;Falsch;
34;0.33;-3.8;2.4;Falsch;
35;0.34;-3.6;2.8;Falsch;
36;0.35;-3.4;3.2;Falsch;
37;0.36;-3.2;3.6;Falsch;
38;0.37;-3;4;Falsch;
39;0.38;-2.8;4.4;Falsch;
40;0.39;-2.6;4.8;Falsch;
41;0.4;-2.4;5.2;Falsch;
42;0.41;-2.2;5.6;Falsch;
43;0.42;-2;6;Falsch;
44;0.43;-1.8;6.4;Falsch;
45;0.44;-1.6;6.8;Falsch;
46;0.45;-1.4;7.2;Falsch;
47;0.46;-1.2;7.6;Falsch;
48;0.47;-1;8;Falsch;
49;0.48;-0.8;8.4;Falsch;
50;0.49;-0.6;8.8;Falsch;
51;0.5;-0.4;9.2;Falsch;
52;0.51;-0.2;9.6;Falsch;
53;0.52;0;-10;Wahr;
54;0.53;0.2;-9.6;Wahr;
55;0.54;0.4;-9.2;Wahr;
56;0.55;0.6;-8.8;Wahr;
57;0.56;0.8;-8.4;Wahr;
58;0.57;1;-8;Wahr;
59;0.58;1.2;-7.6;Wahr;
60;0.59;1.4;-7.2;Wahr;
61;0.6;1.6;-6.8;Wahr;
62;0.61;1.8;-6.4;Wahr;
63;0.62;2;-6;Wahr;
64;0.63;2.2;-5.6;Wahr;
65;0.64;2.4;-5.2;Wahr;
66;0.65;2.6;-4.8;Wahr;
67;0.66;2.8;-4.4;Wahr;
68;0.67;3;-4;Wahr;
69;0.68;3.2;-3.6;Wahr;
70;0.69;3.4;-3.2;Wahr;
71;0.7;3.6;-2.8;Wahr;
72;0.71;3.8;-2.4;Wahr;
73;0.72;4;-2;Wahr;
74;0.73;4.2;-1.6;Wahr;
75;0.74;4.4;-1.2;Wahr;
76;0.75;4.6;-0.8;Wahr;
77;0.76;4.8;-0.4;Wahr;
78;0.77;5;0;Wahr;
79;0.78;5.2;0.4;Wahr;
80;0.79;5.4;0.8;Wahr;
81;0.8;5.6;1.2;Wahr;
82;0.81;5.8;1.6;Wahr;
83;0.82;6;2;Wahr;
84;0.83;6.2;2.4;Wahr;
85;0.84;6.4;2.8;Wahr;
86;0.85;6.6;3.2;Wahr;
87;0.86;6.8;3.6;Wahr;
88;0.87;7;4;Wahr;
89;0.88;7.2;4.4;Wahr;
90;0.89;7.4;4.8;Wahr;
91;0.9;7.6;5.2;Wahr;
92;0.91;7.8;5.6;Wahr;
93;0.92;8;6;Wahr;
94;0.93;8.2;6.4;Wahr;
95;0.94;8.4;6.8;Wahr;
96;0.95;8.6;7.2;Wahr;
97;0.96;8.8;7.6;Wahr;
98;0.97;9;8;Wahr;
99;0.98;9.2;8.4;Wahr;
100;0.99;9.4;8.8;Wahr;
101;1;9.6;9.2;Wahr;
102;1.01;9.8;9.6;Wahr;
103;1.02;-10;-10;Falsch;
104;1.03;-9.8;-9.6;Falsch;
105;1.04;-9.6;-9.2;Falsch;
106;1.05;-9.4;-8.8;Falsch;
107;1.06;-9.2;-8.4;Falsch;
108;1.07;-9;-8;Falsch;
109;1.08;-8.8;-7.6;Falsch;
110;1.09;-8.6;-7.2;Falsch;
111;1.1;-8.4;-6.8;Falsch;
112;1.11;-8.2;-6.4;Falsch;
