Line;Time;Floating Point Input 1;Floating Point Input 2;Floating Point Input 3;Floating Point Input 4;Floating Point Input 5;
1;0;-1;-5;0;-2;1;
2;0.1;-1;-5;0;-2;1;
3;0.2;-1;-5;0;-2;1;
4;0.3;-1;-5;0;-2;1;
5;0.4;-1;-5;0;-2;1;
6;0.5;-1;-5;0;-2;1;
7;0.6;1;5;2;0;-1;
8;0.7;1;5;2;0;-1;
9;0.8;1;5;2;0;-1;
10;0.9;1;5;2;0;-1;
11;1;1;5;2;0;-1;
12;1.1;-1;-5;0;-2;1;
13;1.2;-1;-5;0;-2;1;
14;1.3;-1;-5;0;-2;1;
15;1.4;-1;-5;0;-2;1;
16;1.5;-1;-5;0;-2;1;
17;1.6;1;5;2;0;-1;
18;1.7;1;5;2;0;-1;
19;1.8;1;5;2;0;-1;
20;1.9;1;5;2;0;-1;
21;2;1;5;2;0;-1;
22;2.1;-1;-5;0;-2;1;
